"Wavelength, µm","n","k"
0.719297,2.054363,0.061252
0.720881,2.054117,0.061963
0.722466,2.053882,0.062673
0.72405,2.053656,0.063383
0.725634,2.05344,0.064093
0.727218,2.053234,0.064801
0.728802,2.053038,0.065509
0.730386,2.052851,0.066216
0.73197,2.052675,0.066921
0.733554,2.052508,0.067625
0.735138,2.05235,0.068328
0.736721,2.052202,0.06903
0.738304,2.052064,0.06973
0.739888,2.051935,0.070429
0.741471,2.051815,0.071125
0.743054,2.051705,0.07182
0.744637,2.051603,0.072513
0.74622,2.051511,0.073205
0.747803,2.051428,0.073894
0.749385,2.051353,0.07458
0.750968,2.051288,0.075265
0.75255,2.051231,0.075947
0.754132,2.051183,0.076627
0.755715,2.051144,0.077304
0.757297,2.051114,0.077979
0.758879,2.051091,0.078651
0.76046,2.051078,0.07932
0.762042,2.051072,0.079986
0.763624,2.051075,0.080649
0.765205,2.051086,0.08131
0.766787,2.051105,0.081967
0.768368,2.051132,0.082621
0.769949,2.051167,0.083272
0.77153,2.05121,0.08392
0.773111,2.05126,0.084564
0.774692,2.051318,0.085205
0.776273,2.051384,0.085842
0.777853,2.051457,0.086476
0.779434,2.051538,0.087106
0.781014,2.051626,0.087733
0.782594,2.051721,0.088356
0.784174,2.051823,0.088975
0.785754,2.051933,0.08959
0.787334,2.052049,0.090201
0.788914,2.052172,0.090808
0.790493,2.052302,0.091412
0.792073,2.052439,0.092011
0.793652,2.052582,0.092606
0.795231,2.052732,0.093197
0.79681,2.052888,0.093784
0.798389,2.053051,0.094366
0.799968,2.053219,0.094945
0.801547,2.053394,0.095518
0.803125,2.053575,0.096088
0.804704,2.053762,0.096653
0.806282,2.053955,0.097214
0.80786,2.054154,0.09777
0.809438,2.054358,0.098322
0.811016,2.054568,0.098869
0.812594,2.054784,0.099412
0.814172,2.055005,0.09995
0.815749,2.055231,0.100483
0.817327,2.055463,0.101012
0.818904,2.0557,0.101536
0.820481,2.055942,0.102055
0.822058,2.056189,0.10257
0.823635,2.056441,0.103079
0.825212,2.056698,0.103585
0.826788,2.056959,0.104085
0.828365,2.057225,0.10458
0.829941,2.057496,0.105071
0.831517,2.057771,0.105557
0.833093,2.058051,0.106038
0.834669,2.058335,0.106514
0.836245,2.058624,0.106985
0.837821,2.058916,0.107451
0.839396,2.059213,0.107912
0.840972,2.059513,0.108369
0.842547,2.059818,0.10882
0.844122,2.060126,0.109267
0.845697,2.060439,0.109708
0.847272,2.060755,0.110145
0.848846,2.061074,0.110577
0.850421,2.061397,0.111003
0.851995,2.061723,0.111425
0.853569,2.062053,0.111842
0.855143,2.062387,0.112254
0.856717,2.062723,0.112661
0.858291,2.063063,0.113063
0.859865,2.063406,0.11346
0.861438,2.063751,0.113852
0.863012,2.0641,0.114239
0.864585,2.064451,0.114621
0.866158,2.064806,0.114998
0.867731,2.065163,0.11537
0.869304,2.065522,0.115738
0.870876,2.065885,0.1161
0.872449,2.066249,0.116458
0.874021,2.066617,0.11681
0.875593,2.066986,0.117158
0.877165,2.067358,0.117501
0.878737,2.067733,0.117839
0.880309,2.068109,0.118172
0.881881,2.068487,0.1185
0.883452,2.068868,0.118824
0.885023,2.06925,0.119142
0.886594,2.069635,0.119456
0.888165,2.070021,0.119765
0.889736,2.070409,0.12007
0.891307,2.070799,0.120369
0.892877,2.071191,0.120664
0.894448,2.071584,0.120954
0.896018,2.071978,0.121239
0.897588,2.072375,0.12152
0.899158,2.072772,0.121796
0.900727,2.073171,0.122067
0.902297,2.073572,0.122334
0.903866,2.073973,0.122596
0.905436,2.074376,0.122854
0.907005,2.07478,0.123107
0.908574,2.075185,0.123355
0.910142,2.075592,0.123599
0.911711,2.075999,0.123838
0.913279,2.076407,0.124073
0.914848,2.076816,0.124303
0.916416,2.077226,0.124529
0.917984,2.077637,0.124751
0.919551,2.078048,0.124968
0.921119,2.078461,0.125181
0.922687,2.078874,0.12539
0.924254,2.079287,0.125594
0.925821,2.079701,0.125794
0.927388,2.080116,0.125989
0.928955,2.080531,0.126181
0.930521,2.080947,0.126368
0.932088,2.081363,0.126551
0.933654,2.081779,0.126729
0.93522,2.082196,0.126904
0.936786,2.082613,0.127075
0.938352,2.08303,0.127241
0.939918,2.083447,0.127404
0.941483,2.083865,0.127562
0.943048,2.084283,0.127716
0.944613,2.084701,0.127867
0.946178,2.085118,0.128013
0.947743,2.085536,0.128156
0.949308,2.085954,0.128294
0.950872,2.086372,0.128429
0.952436,2.086789,0.12856
0.954,2.087207,0.128687
0.955564,2.087624,0.12881
0.957128,2.088041,0.12893
0.958691,2.088458,0.129046
0.960255,2.088874,0.129158
0.961818,2.089291,0.129266
0.963381,2.089707,0.129371
0.964944,2.090122,0.129472
0.966506,2.090537,0.12957
0.968069,2.090952,0.129664
0.969631,2.091367,0.129755
0.971193,2.09178,0.129842
0.972755,2.092194,0.129925
0.974317,2.092607,0.130005
0.975878,2.093019,0.130082
0.97744,2.09343,0.130155
0.979001,2.093841,0.130225
0.980562,2.094252,0.130292
0.982123,2.094661,0.130355
0.983683,2.095071,0.130415
0.985244,2.095479,0.130472
0.986804,2.095886,0.130526
0.988364,2.096293,0.130576
0.989924,2.096699,0.130624
0.991484,2.097105,0.130668
0.993043,2.097509,0.130709
0.994603,2.097913,0.130747
0.996162,2.098315,0.130782
0.997721,2.098717,0.130813
0.99928,2.099118,0.130842
